DM,DMMC
22,交流10kV
23,交流15.75kV
24,交流20kV
25,交流35kV
30,交流66kV
31,交流72.5kV
32,交流110kV
33,交流220kV
34,交流330kV
35,交流500kV
36,交流750kV
37,交流1000kV
01,交流6V
02,交流12V
03,交流24V
04,交流36V
05,交流48V
06,交流110V
07,交流220V
08,交流380V（含400V）
09,交流660V
10,交流1000V（含1140V）
11,交流600V
12,交流750V
13,交流1500V
14,交流3000V
15,交流2500V
20,交流3kV
21,交流6kV
78,直流50kV
76,直流35kV
77,直流30kV
73,直流3000V
72,直流1500V
71,直流750V
70,直流600V
60,直流220V
56,直流110V
55,直流48V
54,直流36V
53,直流24V
52,直流12V
51,直流6V
90,直流166.7kV
86,直流1000kV
85,直流800kV
84,直流660kV
83,直流500kV
82,直流400kV
88,直流320kV
87,直流200kV
81,直流125kV
80,直流120kV
99,其他
